packet_size,cdf
52,0.000893602
53,0.000908495
54,0.00366377
56,0.00457226
59,0.00458716
61,0.00460205
71,0.00461694
74,0.00463184
80,0.00769987
81,0.00771476
82,0.00774455
84,0.00775944
86,0.00777434
90,0.00781902
91,0.00783391
92,0.0078488
97,0.0078637
99,0.00787859
100,0.00789348
103,0.01467
104,0.0225188
105,0.0297272
106,0.037576
107,0.0478077
109,0.0554033
110,0.0631628
111,0.0710711
113,0.078771
114,0.0863517
115,0.0937239
117,0.101737
119,0.111939
120,0.119266
122,0.126683
123,0.126698
124,0.134219
126,0.141815
129,0.148993
131,0.156365
132,0.15638
133,0.164646
136,0.174535
139,0.181967
142,0.188997
145,0.196622
149,0.204441
150,0.204456
152,0.212499
154,0.212543
155,0.215418
156,0.223341
158,0.223371
160,0.2234
161,0.230981
162,0.231011
164,0.231026
165,0.241853
167,0.241883
171,0.249136
172,0.249151
173,0.249166
174,0.249196
176,0.256836
178,0.256896
179,0.25697
181,0.257
183,0.265251
184,0.265266
185,0.265281
187,0.265295
188,0.26531
189,0.265325
190,0.273025
191,0.273055
193,0.27307
195,0.27587
196,0.278848
197,0.286965
198,0.28698
199,0.286995
200,0.287025
202,0.28704
205,0.287055
206,0.295172
208,0.295186
209,0.295201
210,0.295216
211,0.295231
213,0.295246
216,0.302797
218,0.302827
219,0.302842
222,0.302886
225,0.302916
226,0.302961
227,0.313252
229,0.313282
232,0.313297
233,0.313312
238,0.313327
239,0.320609
240,0.320624
241,0.320639
242,0.320654
244,0.320669
246,0.320699
248,0.320714
249,0.320729
250,0.320743
253,0.320773
254,0.328071
255,0.328101
256,0.328116
258,0.32816
259,0.328175
260,0.33102
262,0.331035
263,0.331065
267,0.331079
269,0.331094
270,0.337335
271,0.345049
273,0.345079
274,0.345109
275,0.345124
276,0.345154
277,0.345198
279,0.345213
280,0.345243
282,0.345273
284,0.345288
286,0.345303
287,0.345332
288,0.345362
289,0.345377
290,0.345407
291,0.353211
292,0.353256
293,0.353285
294,0.353315
295,0.356249
298,0.356264
300,0.356279
305,0.356294
309,0.356309
315,0.363875
316,0.36389
328,0.363919
329,0.363949
330,0.363979
331,0.367107
332,0.367121
333,0.367136
335,0.367181
337,0.367196
338,0.367226
340,0.36727
341,0.367285
343,0.367315
344,0.36733
345,0.375313
347,0.375357
349,0.375372
350,0.375402
354,0.375417
356,0.375432
357,0.375462
358,0.375491
360,0.375506
361,0.375521
362,0.375581
363,0.375626
365,0.37564
368,0.378679
370,0.378694
372,0.378708
375,0.378753
379,0.378768
380,0.378798
381,0.378813
382,0.386379
384,0.386408
386,0.386423
389,0.386438
390,0.386453
392,0.386468
394,0.389506
397,0.389521
399,0.389536
401,0.389551
402,0.389625
403,0.389655
405,0.38967
406,0.389685
407,0.392515
408,0.392544
410,0.392559
412,0.392574
414,0.392604
415,0.392634
420,0.392649
423,0.392664
424,0.392678
429,0.392693
430,0.399738
432,0.399753
434,0.399768
435,0.399783
436,0.399827
437,0.399842
440,0.399887
441,0.399902
443,0.399917
446,0.399931
447,0.400051
448,0.402851
449,0.40291
450,0.402925
452,0.40294
453,0.40297
454,0.403
455,0.405829
456,0.405859
457,0.408763
458,0.408823
459,0.408882
460,0.408912
462,0.408927
463,0.408942
465,0.408957
467,0.408987
469,0.409002
472,0.409016
474,0.409031
476,0.409061
477,0.409076
478,0.409091
479,0.409106
480,0.409121
482,0.409165
483,0.40918
484,0.409255
485,0.40927
488,0.409299
491,0.412457
494,0.412472
495,0.419576
496,0.419591
499,0.419606
500,0.419635
504,0.41965
506,0.41968
507,0.41971
508,0.419725
509,0.41974
510,0.419755
511,0.419769
514,0.419784
515,0.419799
516,0.419829
517,0.419844
521,0.419859
523,0.419889
525,0.419903
526,0.419918
527,0.419933
528,0.422778
531,0.422793
536,0.425384
537,0.425399
538,0.425414
539,0.425444
544,0.425489
546,0.425503
547,0.425518
548,0.425608
549,0.425623
550,0.425637
551,0.425652
553,0.425667
558,0.425682
559,0.425697
563,0.425712
564,0.425742
565,0.425757
566,0.425771
568,0.425801
569,0.425816
570,0.425831
572,0.425846
573,0.425861
576,0.425876
578,0.425891
579,0.425906
582,0.42592
583,0.428616
585,0.428631
586,0.436152
587,0.436167
589,0.436182
590,0.436197
591,0.436227
592,0.436256
593,0.436271
595,0.436316
600,0.436331
602,0.436346
603,0.436361
605,0.436405
606,0.43642
608,0.436465
610,0.43648
613,0.436495
614,0.436524
615,0.436554
616,0.436584
617,0.436614
621,0.436629
624,0.436644
625,0.436659
626,0.436673
629,0.436688
631,0.436703
632,0.439786
633,0.439831
636,0.439861
638,0.439875
640,0.43989
641,0.439905
642,0.439935
645,0.43995
646,0.439965
648,0.43998
652,0.440024
654,0.440039
655,0.440054
656,0.440069
661,0.440084
663,0.440099
665,0.440129
666,0.440158
667,0.440173
669,0.440203
670,0.440233
671,0.440248
674,0.443003
683,0.443018
684,0.445639
686,0.445654
690,0.445669
691,0.445684
694,0.445714
698,0.445758
700,0.445773
703,0.445788
704,0.445803
707,0.445833
709,0.445848
710,0.445863
713,0.445878
714,0.445892
717,0.445937
721,0.445952
722,0.445982
723,0.445997
725,0.453369
728,0.453384
729,0.453399
730,0.453414
737,0.453428
738,0.45669
741,0.45672
743,0.456735
744,0.45675
747,0.456779
749,0.456794
751,0.459773
754,0.459788
758,0.459877
761,0.459892
763,0.459907
765,0.459937
769,0.459952
771,0.459967
777,0.459982
778,0.459996
780,0.460026
782,0.460056
785,0.460071
787,0.460086
788,0.460101
789,0.460145
