packet_size,cdf
52,0.000776961
53,0.00392365
54,0.105239
55,0.156752
56,0.157632
57,0.173443
58,0.173767
59,0.177108
60,0.177238
61,0.181938
62,0.186535
63,0.238125
64,0.238566
65,0.240353
66,0.251062
67,0.267391
68,0.270149
69,0.271535
70,0.272351
71,0.273658
72,0.275355
73,0.276417
74,0.277996
75,0.278877
76,0.280794
77,0.281778
78,0.282878
79,0.284704
80,0.285792
81,0.286919
82,0.28798
83,0.289159
84,0.290195
85,0.291334
86,0.292448
87,0.293769
88,0.29509
89,0.296579
90,0.297692
91,0.298664
92,0.300023
93,0.301577
95,0.30295
96,0.304284
97,0.305708
98,0.305721
99,0.307132
100,0.308492
102,0.31002
103,0.311587
105,0.313128
106,0.314747
108,0.316443
109,0.318126
110,0.318139
111,0.319784
112,0.319797
113,0.321506
115,0.323397
117,0.325572
118,0.325598
119,0.327346
120,0.327359
121,0.329367
123,0.331438
125,0.333588
127,0.335634
128,0.33566
129,0.337861
130,0.337887
131,0.340102
132,0.34014
133,0.340464
134,0.342497
136,0.344336
137,0.344375
138,0.344388
139,0.346563
141,0.348791
142,0.348803
143,0.348868
144,0.351342
147,0.353763
148,0.353776
149,0.356016
152,0.358257
153,0.358269
155,0.360445
156,0.360458
157,0.360471
158,0.362724
159,0.36275
160,0.362763
161,0.362776
162,0.365508
163,0.365534
164,0.365547
165,0.368163
168,0.370714
170,0.370727
171,0.37074
172,0.373524
174,0.373537
175,0.375971
176,0.375997
178,0.376411
179,0.379221
180,0.379234
182,0.379247
183,0.381837
185,0.38185
186,0.381889
187,0.384375
189,0.384388
190,0.384401
191,0.386965
193,0.386991
195,0.389464
196,0.38949
198,0.389503
199,0.392352
200,0.392391
201,0.392404
202,0.392417
203,0.394994
204,0.395007
205,0.395033
207,0.395046
208,0.397713
212,0.397739
213,0.400238
214,0.400251
215,0.400264
217,0.40288
219,0.402932
220,0.402958
222,0.405949
225,0.406286
226,0.406312
227,0.409342
228,0.409355
229,0.409381
231,0.409406
232,0.409432
233,0.412203
234,0.412216
235,0.412229
236,0.412242
237,0.412268
238,0.415117
239,0.415143
240,0.415208
241,0.41535
242,0.415376
243,0.418859
244,0.418872
245,0.418898
246,0.418924
249,0.421721
251,0.421734
255,0.424454
257,0.424466
258,0.424479
261,0.427238
262,0.427251
264,0.427276
265,0.427289
267,0.430112
268,0.430125
269,0.430151
270,0.430164
272,0.430177
273,0.430617
274,0.433673
275,0.433686
276,0.433699
277,0.433764
280,0.436445
281,0.436458
283,0.436483
284,0.436522
285,0.436548
286,0.436561
287,0.439501
288,0.439527
