packet_size,cdf
52,0.00191693
56,0.00383387
66,0.00386581
69,0.00392971
91,0.00412141
98,0.00415335
101,0.00428115
105,0.0043131
108,0.00434505
120,0.004377
122,0.00444089
123,0.00447284
129,0.00450479
139,0.00456869
142,0.00463259
144,0.00466454
146,0.00472843
147,0.00476038
161,0.00479233
165,0.00485623
167,0.00488818
174,0.00495208
182,0.00498403
192,0.00501597
193,0.00504792
202,0.00507987
206,0.00511182
215,0.00514377
219,0.00517572
220,0.00520767
228,0.00527157
235,0.00533546
241,0.00536741
255,0.00543131
267,0.00546326
283,0.00549521
300,0.00552716
304,0.00555911
306,0.005623
316,0.00565495
323,0.0056869
329,0.00571885
332,0.0057508
334,0.0058147
346,0.00584665
349,0.00591054
355,0.00600639
357,0.00603834
360,0.00616613
362,0.00629393
365,0.00642173
367,0.00658147
370,0.00686901
371,0.00690096
373,0.0070607
375,0.00722045
378,0.00731629
387,0.00734824
392,0.00741214
397,0.00760383
402,0.00766773
407,0.00782748
410,0.00785942
412,0.00795527
417,0.00801917
418,0.00805112
428,0.00814696
433,0.00817891
440,0.00824281
442,0.00827476
452,0.00830671
467,0.00840256
469,0.0084345
472,0.00846645
477,0.0084984
479,0.00853035
482,0.00865815
483,0.0086901
486,0.00872204
491,0.00875399
493,0.00881789
494,0.00884984
495,0.00888179
498,0.00894569
509,0.00904153
515,0.00916933
520,0.00923323
523,0.00929712
526,0.00932907
543,0.00974441
551,0.00977636
553,0.00980831
554,0.0101597
557,0.0101917
565,0.0104153
570,0.0104792
577,0.0107029
589,0.0109585
596,0.0109904
601,0.0114058
604,0.0114377
612,0.0114696
613,0.0116613
620,0.0116933
625,0.0117252
626,0.0120767
633,0.0121086
639,0.0123323
642,0.0123642
652,0.0126837
657,0.0127157
658,0.0127796
659,0.0128435
667,0.0129393
675,0.0130032
682,0.0130671
686,0.013099
690,0.0131949
692,0.0132268
695,0.0132588
698,0.0134185
700,0.0134505
706,0.0134824
714,0.0135463
723,0.0135783
731,0.0136422
732,0.0136741
737,0.0137061
742,0.01377
754,0.0138978
756,0.0139297
761,0.0139936
766,0.0140575
771,0.0141214
777,0.0141534
783,0.0142173
791,0.0142492
795,0.0142812
798,0.0143131
801,0.014345
807,0.014377
814,0.0144089
816,0.0144409
826,0.0144728
829,0.0145687
833,0.0146006
839,0.0146645
852,0.0146965
855,0.0147284
860,0.0147923
868,0.0148243
872,0.0148882
877,0.015016
885,0.0150479
887,0.0150799
893,0.0151118
902,0.0151438
911,0.0152396
913,0.0152716
918,0.0153355
928,0.0153674
930,0.0154313
937,0.0154633
966,0.0154952
981,0.0155272
988,0.0155591
997,0.015623
1010,0.0157188
1012,0.0157827
1016,0.0158466
1025,0.0159105
1028,0.0160383
1041,0.0161022
1044,0.0161981
1061,0.01623
1064,0.016262
1076,0.0162939
1077,0.0163578
1093,0.0164217
1106,0.0164856
1115,0.0165495
1121,0.0165815
1125,0.0166134
1127,0.0166454
1135,0.0167412
1137,0.0167732
1151,0.0168371
1160,0.0169329
1172,0.0169968
1182,0.0170288
1186,0.0170607
1206,0.0170927
1229,0.0171565
1231,0.0171885
1253,0.0172204
1259,0.0172524
1278,0.0173163
1297,0.0173482
1302,0.0173802
1303,0.0174441
1315,0.017476
1329,0.017508
1360,0.0175399
1361,0.0175719
1384,0.0176038
1407,0.0176358
1410,0.0176677
1411,0.0176997
1423,0.0177316
1427,0.0177636
1430,0.0177955
1433,0.0178275
1437,0.0178594
1447,0.0179233
1450,0.0179553
1452,0.0179872
1455,0.0180192
1466,0.0180511
1477,0.0180831
1500,1
