packet_size,cdf
52,0.00116304
55,0.0254318
56,0.0265948
65,0.0266142
68,0.0268856
73,0.026905
79,0.0282231
84,0.040939
86,0.0413654
87,0.0414042
88,0.0462889
91,0.0463083
92,0.051038
93,0.0510574
94,0.0512319
98,0.0554382
105,0.0599546
107,0.059974
108,0.0599934
110,0.0600322
112,0.0600709
116,0.0644711
118,0.0646843
122,0.0768575
129,0.0893408
135,0.0896121
137,0.101998
140,0.103103
148,0.115684
160,0.115703
162,0.128341
163,0.12869
166,0.129097
168,0.129117
174,0.129136
175,0.129252
180,0.141522
184,0.141581
185,0.1416
189,0.148539
191,0.148753
198,0.155615
203,0.155828
207,0.156816
210,0.164163
212,0.164182
218,0.164221
223,0.171451
228,0.1718
238,0.178604
239,0.178623
240,0.178662
242,0.178682
243,0.179069
244,0.179089
246,0.179205
247,0.179224
251,0.179496
253,0.179709
257,0.187114
262,0.187133
266,0.187152
274,0.187191
278,0.18721
280,0.195294
281,0.19572
298,0.195739
302,0.195798
304,0.195836
306,0.196108
308,0.20328
313,0.203299
316,0.203319
320,0.212875
321,0.212991
322,0.21303
325,0.21334
327,0.213902
334,0.223342
341,0.223362
343,0.223381
344,0.2234
348,0.233402
350,0.233441
352,0.233461
353,0.233519
357,0.233538
359,0.234372
361,0.234391
365,0.244684
374,0.244723
383,0.254861
384,0.254938
397,0.254957
400,0.254977
404,0.263816
408,0.263835
411,0.264223
412,0.264301
419,0.26432
427,0.274051
428,0.27407
432,0.274089
433,0.274652
442,0.274845
447,0.275853
449,0.275873
452,0.275892
453,0.275912
454,0.286611
455,0.286805
456,0.286825
463,0.287077
467,0.287115
470,0.287135
472,0.287154
485,0.297137
488,0.297156
494,0.297176
500,0.297757
505,0.297796
508,0.298358
521,0.308011
525,0.30805
528,0.30807
540,0.308089
544,0.309194
546,0.309717
551,0.309775
552,0.309795
553,0.309814
564,0.320204
566,0.320456
567,0.320475
576,0.320495
579,0.320592
580,0.320611
583,0.32286
592,0.323015
593,0.323053
594,0.323092
597,0.323131
603,0.325263
605,0.325283
606,0.325302
609,0.325554
612,0.325573
616,0.325631
617,0.325651
625,0.327764
628,0.327783
649,0.329741
652,0.33071
657,0.330768
664,0.330826
667,0.331117
672,0.331136
674,0.331214
675,0.333288
679,0.333307
682,0.33354
687,0.333928
692,0.333947
694,0.334199
696,0.334451
704,0.336428
707,0.336545
720,0.336583
726,0.336642
729,0.336835
735,0.339317
737,0.339336
738,0.339355
741,0.339898
742,0.339937
748,0.340228
751,0.340363
758,0.340383
765,0.340402
767,0.340421
769,0.342244
772,0.342689
787,0.343155
789,0.343445
794,0.343465
797,0.343911
798,0.34393
799,0.343949
807,0.346411
820,0.34643
823,0.346469
825,0.346682
838,0.347051
839,0.347264
841,0.347283
848,0.349512
851,0.349551
853,0.349571
859,0.34959
865,0.349609
881,0.349629
884,0.349648
887,0.349668
890,0.350113
891,0.350327
895,0.352556
903,0.352595
906,0.352633
908,0.352808
915,0.352827
922,0.352847
928,0.353002
935,0.353021
936,0.35304
937,0.353389
940,0.353409
943,0.353641
945,0.354029
948,0.356491
950,0.35651
957,0.356549
958,0.356568
959,0.356607
960,0.356878
961,0.356898
962,0.356917
963,0.356956
976,0.356975
981,0.357033
985,0.357053
993,0.357072
999,0.357421
1002,0.357828
1003,0.357848
1004,0.358138
1005,0.358177
1006,0.358197
1008,0.360561
1011,0.360581
1015,0.360755
1018,0.360794
1022,0.360813
1026,0.360833
1030,0.360852
1031,0.360872
1035,0.360891
1036,0.36091
1039,0.36093
1053,0.360949
1058,0.360968
1062,0.361434
1076,0.364012
1077,0.364031
1088,0.364361
1090,0.36438
1092,0.364399
1099,0.364535
1105,0.365543
1111,0.36595
1112,0.366183
1124,0.36659
1125,0.367036
1136,0.368082
1138,0.368102
1142,0.368276
1151,0.368354
1152,0.368412
1162,0.368431
1164,0.368451
1169,0.3694
1172,0.36942
1179,0.369439
1181,0.369459
1183,0.369478
1186,0.369517
1189,0.369536
1190,0.369556
1191,0.369924
1194,0.370118
1195,0.370137
1198,0.370156
1204,0.371126
1209,0.371358
1210,0.371397
1213,0.371416
1218,0.371436
1220,0.371475
1221,0.371494
1224,0.371513
1229,0.371882
1240,0.371901
1241,0.372831
1243,0.372948
1252,0.373297
1261,0.373936
1265,0.373956
1267,0.373975
1270,0.373994
1281,0.374964
1300,0.374983
1301,0.375138
1310,0.375157
1312,0.375313
1314,0.3757
1315,0.375913
1316,0.375933
1319,0.376301
1323,0.377212
1331,0.37727
1335,0.377755
1340,0.377794
1346,0.377813
1349,0.377832
1350,0.377891
1351,0.378298
1356,0.378336
1357,0.378375
1359,0.378395
1369,0.379344
1379,0.379364
1380,0.379383
1386,0.379577
1389,0.380062
1390,0.380294
1398,0.380314
1404,0.380333
1413,0.380856
1417,0.381651
1420,0.38169
1422,0.381709
1424,0.381923
1434,0.381942
1440,0.381961
1446,0.381981
1455,0.382
1457,0.382039
1458,0.382058
1460,0.382368
1470,0.383493
1475,0.383512
1476,0.383551
1480,0.383997
1481,0.384016
1488,0.384074
1489,0.384132
1491,0.384152
1492,0.384171
1495,0.384617
1496,0.384636
1498,0.38483
1500,1
