packet_size,cdf
52,0.000523615
54,0.0618913
55,0.108868
56,0.124472
57,0.124481
58,0.124498
59,0.124507
60,0.140093
62,0.140102
64,0.140111
67,0.141935
68,0.141943
69,0.141952
75,0.141961
82,0.14306
84,0.158228
86,0.169835
88,0.181101
90,0.192411
91,0.19242
92,0.203232
94,0.20325
95,0.214551
98,0.225547
100,0.225556
101,0.236892
103,0.236901
104,0.236918
105,0.248237
107,0.248246
109,0.248255
110,0.259521
111,0.259696
112,0.259704
113,0.259731
115,0.259739
116,0.27118
119,0.272332
122,0.272341
123,0.273545
125,0.273563
126,0.273571
127,0.274715
130,0.274741
132,0.276163
136,0.276172
137,0.277481
143,0.278851
144,0.27886
145,0.278869
146,0.278877
147,0.278895
149,0.278904
150,0.280117
152,0.280125
154,0.280134
155,0.280143
156,0.280195
157,0.280204
158,0.280221
159,0.281565
161,0.281574
166,0.281583
168,0.282944
169,0.282953
171,0.282996
173,0.283005
177,0.283014
178,0.283031
179,0.284724
180,0.286051
181,0.28606
182,0.286077
183,0.286086
187,0.295912
188,0.295921
192,0.295938
194,0.306612
196,0.30662
199,0.306638
201,0.306646
202,0.306655
203,0.31718
204,0.317189
206,0.317197
207,0.317206
212,0.327739
213,0.327757
214,0.327792
220,0.3278
221,0.327809
223,0.337636
226,0.337644
227,0.337653
228,0.337662
230,0.337671
234,0.337679
235,0.347968
237,0.347977
239,0.347986
240,0.347995
242,0.348003
243,0.348021
244,0.348029
245,0.348038
248,0.348047
249,0.357725
250,0.357734
251,0.357743
252,0.357751
255,0.35776
257,0.357777
259,0.358153
260,0.358161
265,0.368756
266,0.368765
267,0.368782
269,0.3688
273,0.368808
274,0.368817
275,0.368826
277,0.368834
281,0.368843
282,0.368852
284,0.368861
285,0.379228
288,0.379237
289,0.379246
290,0.379254
291,0.379263
292,0.379272
296,0.379281
298,0.379289
301,0.379298
304,0.379307
307,0.380415
308,0.390399
310,0.390425
311,0.392144
316,0.392153
317,0.392161
321,0.429024
323,0.42905
324,0.429068
325,0.429085
326,0.429094
334,0.429103
336,0.464586
338,0.464595
339,0.464612
340,0.464621
347,0.46463
353,0.501545
355,0.501562
356,0.50158
357,0.501597
359,0.501614
361,0.501649
364,0.501658
365,0.501667
367,0.501684
370,0.501728
372,0.537884
374,0.53791
375,0.537927
376,0.537953
377,0.53798
379,0.537997
382,0.538006
384,0.538023
385,0.538041
386,0.538049
389,0.538067
393,0.575444
394,0.575453
395,0.57547
396,0.575479
398,0.575497
399,0.575523
400,0.575531
403,0.575558
406,0.575584
407,0.575593
408,0.575601
409,0.575636
410,0.575654
412,0.575662
413,0.57568
414,0.575697
415,0.575706
416,0.575715
417,0.575732
418,0.612342
420,0.612377
421,0.612411
422,0.612438
423,0.612446
424,0.612464
425,0.612516
427,0.612525
428,0.612542
430,0.612551
431,0.61256
432,0.612569
436,0.612603
438,0.612612
440,0.612621
441,0.612638
443,0.612647
446,0.648881
448,0.648907
449,0.648934
450,0.648951
451,0.648968
452,0.648986
454,0.648995
456,0.649021
461,0.649056
466,0.650976
467,0.651002
468,0.651019
469,0.651028
471,0.651054
472,0.651098
473,0.651107
474,0.651115
477,0.651124
479,0.687271
480,0.687306
481,0.687315
482,0.687376
484,0.687384
485,0.687393
486,0.687402
487,0.687419
488,0.687437
489,0.687445
491,0.687454
492,0.687463
495,0.687489
496,0.687498
497,0.687524
499,0.68755
501,0.687559
503,0.687568
505,0.687576
506,0.687585
507,0.687603
508,0.687629
511,0.687637
512,0.687646
513,0.687655
517,0.725058
518,0.725067
519,0.725076
520,0.725085
521,0.725093
522,0.725102
523,0.725111
524,0.72512
525,0.725137
527,0.725381
