packet_size,cdf
-1447,0.01578
-1446,0.02145
-1445,0.0221
-1444,0.03883
-1443,0.03931
-1442,0.05692
-1441,0.05946
-1440,0.0608
-1439,0.06154
-1438,0.06534
-1437,0.0676
-1436,0.07083
-1435,0.07132
-1434,0.078
-1433,0.07865
-1432,0.07965
-1431,0.08022
-1430,0.08107
-1429,0.08135
-1428,0.08283
-1427,0.08359
-1426,0.08485
-1425,0.0854
-1424,0.0868
-1423,0.08788
-1422,0.08874
-1421,0.08936
-1420,0.09328
-1419,0.09357
-1418,0.09457
-1417,0.09551
-1416,0.09607
-1415,0.09736
-1414,0.09833
-1413,0.10775
-1412,0.10813
-1411,0.10847
-1410,0.10951
-1409,0.10995
-1408,0.11032
-1407,0.11213
-1406,0.11259
-1405,0.11439
-1404,0.11473
-1403,0.11499
-1402,0.11518
-1401,0.11611
-1400,0.11694
-1399,0.1174
-1398,0.11767
-1397,0.11953
-1396,0.12003
-1395,0.12123
-1394,0.12227
-1393,0.12248
-1392,0.12337
-1391,0.12416
-1390,0.1251
-1389,0.12544
-1388,0.1257
-1387,0.12604
-1386,0.12642
-1385,0.1267
-1384,0.12684
-1383,0.12704
-1382,0.12744
-1381,0.13049
-1380,0.13083
-1379,0.13101
-1378,0.13125
-1377,0.13158
-1376,0.13173
-1375,0.13224
-1374,0.13256
-1373,0.13266
-1372,0.13281
-1371,0.13289
-1370,0.13361
-1369,0.13379
-1368,0.13409
-1367,0.13421
-1366,0.13434
-1365,0.135
-1364,0.13517
-1363,0.13532
-1362,0.13555
-1361,0.13624
-1360,0.13668
-1359,0.13698
-1358,0.1373
-1357,0.13739
-1356,0.1379
-1355,0.13801
-1354,0.1383
-1353,0.13851
-1352,0.13865
-1351,0.13872
-1350,0.13888
-1349,0.13925
-1348,0.13949
-1347,0.13963
-1346,0.13989
-1345,0.14007
-1344,0.1402
-1343,0.14047
-1342,0.14085
-1341,0.14102
-1340,0.14194
-1339,0.14205
-1338,0.14426
-1337,0.14438
-1336,0.14506
-1335,0.14519
-1334,0.14581
-1333,0.14622
-1332,0.14668
-1331,0.14689
-1330,0.14708
-1329,0.14734
-1328,0.14763
-1327,0.14795
-1326,0.14821
-1325,0.14835
-1324,0.14848
-1323,0.14862
-1322,0.14885
-1321,0.14893
-1320,0.14928
-1319,0.14937
-1318,0.14952
-1317,0.14988
-1316,0.15012
-1315,0.15025
-1314,0.15061
-1313,0.15078
-1312,0.1509
-1311,0.15112
-1310,0.15125
-1309,0.15139
-1308,0.15147
-1307,0.15164
-1306,0.15222
-1305,0.15229
-1304,0.15254
-1303,0.15263
-1302,0.15302
-1301,0.15369
-1300,0.15397
-1299,0.15403
-1298,0.15419
-1297,0.15427
-1296,0.15445
-1295,0.15515
-1294,0.15534
-1293,0.15539
-1292,0.1555
-1291,0.15565
-1290,0.15599
-1289,0.15618
-1288,0.15639
-1287,0.15647
-1286,0.15666
-1285,0.15712
-1284,0.15753
-1283,0.15767
-1282,0.15783
-1281,0.15791
-1280,0.15804
-1279,0.15817
-1278,0.15837
-1277,0.15845
-1276,0.15858
-1275,0.15875
-1274,0.1591
-1273,0.15915
-1272,0.15922
-1271,0.15927
-1270,0.15935
-1269,0.15967
-1268,0.15985
-1267,0.15999
-1266,0.16005
-1265,0.16012
-1264,0.16019
-1263,0.16029
-1262,0.16036
-1261,0.16044
-1260,0.1605
-1259,0.16069
-1258,0.16078
-1257,0.16082
-1256,0.16089
-1255,0.16109
-1254,0.1612
-1253,0.16135
-1252,0.16146
-1251,0.16157
-1250,0.16166
-1249,0.16181
-1248,0.1619
-1247,0.1621
-1246,0.16231
-1245,0.16232
-1244,0.1624
-1243,0.16242
-1242,0.16251
-1241,0.16259
-1240,0.16278
-1239,0.16284
-1238,0.16309
-1237,0.16411
-1236,0.16428
-1235,0.16431
-1234,0.16452
-1233,0.16462
-1232,0.16475
-1231,0.16496
-1230,0.16506
-1229,0.1651
-1228,0.1653
-1227,0.16537
-1226,0.16546
-1225,0.16552
-1224,0.1657
-1223,0.16574
-1222,0.16584
-1221,0.16596
-1220,0.16616
-1219,0.16624
-1218,0.1663
-1217,0.16644
-1216,0.1668
-1215,0.16688
-1214,0.16703
-1213,0.1671
-1212,0.16716
-1211,0.16727
-1210,0.16738
-1209,0.16748
-1208,0.16794
-1207,0.16812
-1206,0.16824
-1205,0.16873
-1204,0.16882
-1203,0.16889
-1202,0.16901
-1201,0.1691
-1200,0.16917
-1199,0.16939
