sampleTime, isHotThroughputUtilization
+25000ns, 0
+50000ns, 0
+75000ns, 0
+100000ns, 0
+125000ns, 0
+150000ns, 0
+175000ns, 0
+200000ns, 0
+225000ns, 0
+250000ns, 0
+275000ns, 0
+300000ns, 0
+325000ns, 0
+350000ns, 0
+375000ns, 0
+400000ns, 0
+425000ns, 0
+450000ns, 0
+475000ns, 0
+500000ns, 0
+525000ns, 0
+550000ns, 0
+575000ns, 0
+600000ns, 1
+625000ns, 1
+650000ns, 1
+675000ns, 1
+700000ns, 0
+725000ns, 1
+750000ns, 1
+775000ns, 1
+800000ns, 1
+825000ns, 1
+850000ns, 1
+875000ns, 1
+900000ns, 0
+925000ns, 1
+950000ns, 1
+975000ns, 1
+1e+06ns, 1
+1.025e+06ns, 1
+1.05e+06ns, 0
+1.075e+06ns, 1
+1.1e+06ns, 1
+1.125e+06ns, 1
+1.15e+06ns, 1
+1.175e+06ns, 1
+1.2e+06ns, 1
+1.225e+06ns, 1
+1.25e+06ns, 1
+1.275e+06ns, 1
+1.3e+06ns, 1
+1.325e+06ns, 1
+1.35e+06ns, 1
+1.375e+06ns, 1
+1.4e+06ns, 1
+1.425e+06ns, 1
+1.45e+06ns, 1
+1.475e+06ns, 1
+1.5e+06ns, 1
+1.525e+06ns, 1
+1.55e+06ns, 1
+1.575e+06ns, 1
+1.6e+06ns, 0
+1.625e+06ns, 1
+1.65e+06ns, 1
+1.675e+06ns, 1
+1.7e+06ns, 1
+1.725e+06ns, 1
+1.75e+06ns, 1
+1.775e+06ns, 1
+1.8e+06ns, 1
+1.825e+06ns, 1
+1.85e+06ns, 1
+1.875e+06ns, 1
+1.9e+06ns, 1
+1.925e+06ns, 1
+1.95e+06ns, 1
+1.975e+06ns, 1
+2e+06ns, 1
+2.025e+06ns, 1
+2.05e+06ns, 1
+2.075e+06ns, 1
+2.1e+06ns, 1
+2.125e+06ns, 1
+2.15e+06ns, 0
+2.175e+06ns, 1
+2.2e+06ns, 1
+2.225e+06ns, 1
+2.25e+06ns, 1
+2.275e+06ns, 1
+2.3e+06ns, 1
+2.325e+06ns, 1
+2.35e+06ns, 1
+2.375e+06ns, 1
+2.4e+06ns, 1
+2.425e+06ns, 1
+2.45e+06ns, 0
+2.475e+06ns, 1
+2.5e+06ns, 1
+2.525e+06ns, 1
+2.55e+06ns, 1
+2.575e+06ns, 1
+2.6e+06ns, 0
+2.625e+06ns, 1
+2.65e+06ns, 1
+2.675e+06ns, 1
+2.7e+06ns, 1
+2.725e+06ns, 1
+2.75e+06ns, 1
+2.775e+06ns, 0
+2.8e+06ns, 1
+2.825e+06ns, 1
+2.85e+06ns, 1
+2.875e+06ns, 1
+2.9e+06ns, 1
+2.925e+06ns, 1
+2.95e+06ns, 1
+2.975e+06ns, 1
+3e+06ns, 1
+3.025e+06ns, 1
+3.05e+06ns, 1
+3.075e+06ns, 1
+3.1e+06ns, 1
+3.125e+06ns, 1
+3.15e+06ns, 1
+3.175e+06ns, 1
+3.2e+06ns, 1
+3.225e+06ns, 1
+3.25e+06ns, 1
+3.275e+06ns, 1
+3.3e+06ns, 1
+3.325e+06ns, 1
+3.35e+06ns, 1
+3.375e+06ns, 1
+3.4e+06ns, 1
+3.425e+06ns, 1
+3.45e+06ns, 0
+3.475e+06ns, 1
+3.5e+06ns, 1
+3.525e+06ns, 1
+3.55e+06ns, 1
+3.575e+06ns, 1
+3.6e+06ns, 1
+3.625e+06ns, 1
+3.65e+06ns, 1
+3.675e+06ns, 1
+3.7e+06ns, 1
+3.725e+06ns, 0
+3.75e+06ns, 1
+3.775e+06ns, 1
+3.8e+06ns, 1
+3.825e+06ns, 1
+3.85e+06ns, 1
+3.875e+06ns, 1
+3.9e+06ns, 1
+3.925e+06ns, 1
+3.95e+06ns, 1
+3.975e+06ns, 1
+4e+06ns, 1
+4.025e+06ns, 1
+4.05e+06ns, 1
+4.075e+06ns, 0
+4.1e+06ns, 1
+4.125e+06ns, 1
+4.15e+06ns, 1
+4.175e+06ns, 1
+4.2e+06ns, 1
+4.225e+06ns, 1
+4.25e+06ns, 1
+4.275e+06ns, 1
+4.3e+06ns, 1
+4.325e+06ns, 1
+4.35e+06ns, 1
+4.375e+06ns, 1
+4.4e+06ns, 1
+4.425e+06ns, 1
+4.45e+06ns, 1
+4.475e+06ns, 1
+4.5e+06ns, 0
+4.525e+06ns, 1
+4.55e+06ns, 1
+4.575e+06ns, 1
+4.6e+06ns, 1
+4.625e+06ns, 1
+4.65e+06ns, 1
+4.675e+06ns, 1
+4.7e+06ns, 1
+4.725e+06ns, 1
+4.75e+06ns, 1
+4.775e+06ns, 1
+4.8e+06ns, 1
+4.825e+06ns, 1
+4.85e+06ns, 1
+4.875e+06ns, 1
+4.9e+06ns, 1
+4.925e+06ns, 1
+4.95e+06ns, 1
+4.975e+06ns, 1
+5e+06ns, 1
+5.025e+06ns, 1
+5.05e+06ns, 1
+5.075e+06ns, 1
+5.1e+06ns, 1
+5.125e+06ns, 1
+5.15e+06ns, 0
+5.175e+06ns, 1
+5.2e+06ns, 1
+5.225e+06ns, 1
+5.25e+06ns, 1
+5.275e+06ns, 1
+5.3e+06ns, 1
+5.325e+06ns, 0
+5.35e+06ns, 0
+5.375e+06ns, 1
+5.4e+06ns, 1
+5.425e+06ns, 1
+5.45e+06ns, 1
+5.475e+06ns, 1
+5.5e+06ns, 1
+5.525e+06ns, 1
+5.55e+06ns, 1
+5.575e+06ns, 1
+5.6e+06ns, 1
+5.625e+06ns, 0
+5.65e+06ns, 1
+5.675e+06ns, 0
+5.7e+06ns, 0
+5.725e+06ns, 0
+5.75e+06ns, 0
+5.775e+06ns, 1
+5.8e+06ns, 0
+5.825e+06ns, 0
+5.85e+06ns, 1
+5.875e+06ns, 1
+5.9e+06ns, 0
+5.925e+06ns, 0
+5.95e+06ns, 0
+5.975e+06ns, 1
+6e+06ns, 0
+6.025e+06ns, 1
+6.05e+06ns, 1
+6.075e+06ns, 1
+6.1e+06ns, 1
+6.125e+06ns, 1
+6.15e+06ns, 1
+6.175e+06ns, 0
+6.2e+06ns, 1
+6.225e+06ns, 1
+6.25e+06ns, 1
+6.275e+06ns, 1
+6.3e+06ns, 1
+6.325e+06ns, 1
+6.35e+06ns, 1
+6.375e+06ns, 1
+6.4e+06ns, 1
+6.425e+06ns, 1
+6.45e+06ns, 1
+6.475e+06ns, 1
+6.5e+06ns, 1
+6.525e+06ns, 1
+6.55e+06ns, 1
+6.575e+06ns, 1
+6.6e+06ns, 1
+6.625e+06ns, 1
+6.65e+06ns, 1
+6.675e+06ns, 0
+6.7e+06ns, 1
+6.725e+06ns, 1
+6.75e+06ns, 1
+6.775e+06ns, 0
+6.8e+06ns, 1
+6.825e+06ns, 1
+6.85e+06ns, 1
+6.875e+06ns, 1
+6.9e+06ns, 1
+6.925e+06ns, 0
+6.95e+06ns, 1
+6.975e+06ns, 1
+7e+06ns, 1
+7.025e+06ns, 1
+7.05e+06ns, 1
+7.075e+06ns, 1
+7.1e+06ns, 1
