
Start Single Queue Simulation
Queue Size: 100p
Hosts and Switches IP addresses
Src: 0 Id:0 IP: 10.1.1.1
Src CT: 1 Id:1 IP: 10.2.1.1
Dst: 0 Id:2 IP: 10.3.1.1
Total preparing time = 1058739 microsecond
Config Parameters
srcHostToSwitchLinkRate: 300Mbps
ctHostToSwitchLinkRate: 300Mbps
hostToSwitchLinkDelay: 50us
bottleneckLinkRate: 630.0Mbps
pctPacedBack: 0.8
enableSwitchECN: 1
enableECMP: 1
sampleRate: 4500
errorRate: 1.5e-05
dirName: forward
experiment: 80
trafficStartTime: 71.10000000000001
trafficStopTime: 72.0
steadyStartTime: 0.3
steadyEndTime: 0.8
packet_size,cdf
52,0.0329147
53,0.0344312
54,0.0479089
55,0.0493186
56,0.0839207
57,0.0848178
58,0.121898
59,0.12288
60,0.124183
61,0.125849
62,0.129224
63,0.133859
64,0.136059
65,0.136764
66,0.150818
67,0.151587
68,0.153039
69,0.15368
70,0.154513
71,0.155133
72,0.155688
73,0.157076
74,0.159276
75,0.160302
76,0.162651
77,0.16436
78,0.165834
79,0.166709
80,0.174142
81,0.174463
82,0.176321
83,0.177624
84,0.178542
85,0.180807
86,0.181789
87,0.200735
88,0.201226
89,0.201739
90,0.203618
91,0.204302
92,0.204772
93,0.20584
94,0.206502
95,0.209983
96,0.210432
97,0.210838
98,0.21135
99,0.213123
100,0.214811
101,0.215195
102,0.215708
103,0.220343
104,0.221304
105,0.222713
106,0.224016
107,0.224209
108,0.224315
109,0.225127
110,0.225298
111,0.225682
112,0.225875
113,0.226195
114,0.226601
115,0.227028
116,0.227135
117,0.227306
118,0.227669
119,0.23429
120,0.234739
121,0.234846
122,0.235145
123,0.235401
124,0.235465
125,0.235593
126,0.235978
127,0.236084
128,0.236148
129,0.236255
130,0.237686
131,0.237921
132,0.238135
133,0.23822
134,0.238327
135,0.239352
136,0.239587
137,0.239673
138,0.240057
139,0.240164
140,0.240549
141,0.240912
142,0.241018
143,0.241189
144,0.241403
145,0.241488
146,0.241851
147,0.242065
148,0.242129
149,0.242279
150,0.242449
151,0.243112
152,0.243218
153,0.243368
154,0.243816
155,0.243859
156,0.244073
157,0.24435
158,0.244906
159,0.245013
160,0.246636
161,0.246764
162,0.251164
163,0.251378
164,0.25236
165,0.252702
166,0.253471
167,0.254389
168,0.254774
169,0.254859
170,0.255116
171,0.255372
172,0.255756
173,0.255927
174,0.256354
175,0.256611
176,0.256782
177,0.256974
178,0.257294
179,0.257465
180,0.257914
181,0.257999
182,0.258127
183,0.259238
184,0.259409
185,0.259686
186,0.260156
187,0.260391
188,0.26069
189,0.260797
190,0.261053
191,0.261267
192,0.261438
193,0.261609
194,0.262784
195,0.262933
196,0.263189
197,0.263382
198,0.264108
199,0.265325
200,0.265518
201,0.265624
202,0.265817
203,0.265923
204,0.266158
205,0.267034
206,0.267269
207,0.267376
208,0.267483
209,0.267653
210,0.268337
211,0.268529
212,0.268721
213,0.268828
214,0.268978
215,0.26964
216,0.270558
217,0.270686
218,0.270879
219,0.270964
220,0.27105
221,0.271199
222,0.271242
223,0.271263
224,0.271327
225,0.27137
226,0.272032
227,0.272118
228,0.272246
229,0.272288
230,0.272374
231,0.2731
232,0.273207
233,0.273335
234,0.273442
235,0.273549
236,0.27357
237,0.273591
238,0.27372
239,0.273848
240,0.273954
241,0.274168
242,0.274275
243,0.274382
244,0.27451
245,0.27483
246,0.274852
247,0.275108
248,0.2753
249,0.27545
250,0.27562
251,0.275663
252,0.27577
253,0.27592
254,0.276176
255,0.276219
256,0.276411
257,0.276432
258,0.27656
259,0.276753
260,0.276795
261,0.276838
262,0.277137
263,0.278953
264,0.278995
265,0.279059
266,0.279337
267,0.279508
268,0.279679
269,0.279743
270,0.279786
271,0.279871
272,0.28017
273,0.280234
274,0.280448
275,0.280554
276,0.280704
277,0.280811
278,0.280854
279,0.281046
280,0.281174
281,0.281238
282,0.281281
283,0.28143
284,0.281943
285,0.281986
286,0.282028
287,0.282135
288,0.282242
289,0.282349
290,0.282498
291,0.28269
292,0.283438
293,0.283566
294,0.283694
295,0.284784
296,0.284912
297,0.284955
298,0.284997
299,0.285061
300,0.285125
301,0.285318
302,0.285788
303,0.285852
304,0.285916
305,0.286087
306,0.286535
307,0.286727
308,0.286834
309,0.287026
310,0.287283
311,0.287518
312,0.287624
313,0.288457
314,0.289141
315,0.289226
316,0.289504
317,0.289547
318,0.28991
319,0.289953
320,0.289974
321,0.289995
322,0.290123
323,0.290188
324,0.290294
325,0.290401
326,0.290615
327,0.290764
328,0.290914
329,0.290956
330,0.291149
331,0.291256
332,0.291298
333,0.291362
334,0.291661
335,0.291725
337,0.291789
338,0.291939
339,0.292153
340,0.292174
341,0.292217
342,0.292238
343,0.292494
344,0.292601
345,0.292644
346,0.292687
347,0.292815
348,0.292836
350,0.292964
351,0.293071
352,0.293114
353,0.293156
354,0.293327
355,0.293498
356,0.293584
357,0.293776
359,0.293989
360,0.294075
361,0.29416
362,0.294224
363,0.294267
364,0.294374
365,0.294459
366,0.294481
367,0.294523
368,0.29463
369,0.294694
370,0.294844
371,0.295292
372,0.295335
373,0.295421
374,0.295527
375,0.29572
376,0.296339
377,0.296424
378,0.296681
380,0.296723
381,0.29683
382,0.297001
383,0.297065
384,0.297151
385,0.297236
386,0.297471
387,0.297663
388,0.297685
389,0.297727
390,0.297749
391,0.298624
392,0.29871
393,0.298731
394,0.298859
395,0.298923
396,0.298966
397,0.299372
398,0.299543
400,0.299628
401,0.299735
402,0.299778
403,0.30012
404,0.300184
405,0.300205
407,0.300248
408,0.300312
409,0.300397
410,0.30059
411,0.300846
412,0.301102
413,0.301209
414,0.301358
415,0.30138
416,0.301423
417,0.301529
418,0.301572
419,0.301722
420,0.302063
421,0.302213
422,0.302256
423,0.302298
424,0.302362
425,0.302469
426,0.302512
427,0.302576
428,0.302918
429,0.303024
430,0.303089
431,0.30311
432,0.303174
433,0.303238
434,0.303388
435,0.303516
436,0.303644
437,0.303665
438,0.303708
439,0.303815
440,0.303836
441,0.303922
442,0.304007
443,0.304114
444,0.304135
445,0.304221
446,0.304285
447,0.304391
448,0.304498
449,0.304733
450,0.30484
451,0.30516
452,0.30531
453,0.305417
454,0.305459
455,0.305566
456,0.305694
457,0.305716
458,0.305823
459,0.305865
460,0.305993
461,0.306036
462,0.306164
463,0.306271
464,0.306378
465,0.306442
466,0.30657
467,0.306784
468,0.306912
469,0.30704
470,0.30719
471,0.307318
472,0.307382
473,0.307403
474,0.30751
475,0.307617
476,0.307659
477,0.307681
478,0.307852
479,0.307937
480,0.30798
481,0.308258
482,0.308343
483,0.308428
484,0.308514
485,0.308642
486,0.308685
487,0.308813
488,0.308856
489,0.308877
490,0.30892
491,0.308962
492,0.308984
494,0.309048
495,0.309112
496,0.309197
498,0.30924
499,0.309347
500,0.309475
501,0.309496
502,0.309518
503,0.309603
505,0.309646
506,0.309731
507,0.309753
509,0.309774
510,0.310116
511,0.310158
512,0.31018
514,0.310244
515,0.310522
516,0.310564
