[  0%] Building CXX object scratch/ECNMC/CMakeFiles/monitors_module.dir/monitors_module/PoissonSampler.cc.o
[  0%] Linking CXX static library ../../lib/libmonitors_module.a
[  0%] Linking CXX executable ns3.41-DatacenterSimulation-debug

Start Single Queue Simulation
Hosts and Switches IP addresses
Src: 0 Id:0 IP: 10.1.1.1
Src: 1 Id:1 IP: 10.1.2.1
Dst: 0 Id:2 IP: 10.2.1.1
Total preparing time = 993998 microsecond
Config Parameters
srcHostToSwitchLinkRate: 1000Mbps
hostToSwitchLinkDelay: 50us
bottleneckLinkRate: 1580.0Mbps
pctPacedBack: 0.8
enableSwitchECN: 1
enableECMP: 1
sampleRate: 4500
errorRate: 1.5e-05
dirName: forward
experiment: 1
trafficStartTime: 0.0
trafficStopTime: 0.9
steadyStartTime: 0.3
steadyEndTime: 0.8
packet_size,cdf
52,0.0142634
53,0.0159296
54,0.031866
55,0.0327461
56,0.0481719
57,0.0489714
58,0.0835718
59,0.0843243
60,0.0854866
61,0.0871663
62,0.0906532
63,0.0944223
64,0.0968745
65,0.0998173
66,0.113201
67,0.114168
68,0.115041
69,0.115727
70,0.116923
71,0.117507
72,0.11793
73,0.118905
74,0.129674
75,0.13046
76,0.132006
77,0.133753
78,0.135049
79,0.13595
80,0.142413
81,0.142695
82,0.144482
83,0.146027
84,0.147163
85,0.149151
86,0.150576
87,0.171625
88,0.172223
89,0.172754
90,0.174285
91,0.174803
92,0.175058
93,0.175992
94,0.176664
95,0.181185
96,0.181877
97,0.182361
98,0.182818
99,0.184921
100,0.186822
101,0.187098
102,0.187454
103,0.192284
104,0.193393
105,0.19473
106,0.195939
107,0.196127
108,0.196369
109,0.197296
110,0.197552
111,0.198015
112,0.198217
113,0.198499
114,0.199937
115,0.200367
116,0.200548
117,0.200723
118,0.20124
119,0.208315
120,0.209
121,0.209067
122,0.209309
123,0.209585
124,0.209719
125,0.209874
126,0.210048
127,0.210142
128,0.21025
129,0.210371
130,0.212474
131,0.212715
132,0.212897
133,0.213051
134,0.213481
135,0.214859
136,0.215107
137,0.215181
138,0.215531
139,0.215604
140,0.216034
141,0.216344
142,0.216458
143,0.216572
144,0.216693
145,0.21678
146,0.217358
147,0.217519
148,0.2176
149,0.217714
150,0.217835
151,0.218487
152,0.218594
153,0.218722
