
Start
Hosts and Switches IP addresses
Rack: 0 Host: 0 Id:0 IP: 10.1.1.1
Rack: 0 Host: 1 Id:1 IP: 10.1.2.1
Rack: 0 Host: 2 Id:2 IP: 10.1.3.1
Rack: 0 Host: 3 Id:3 IP: 10.1.4.1
Rack: 0 Host: 4 Id:4 IP: 10.1.5.1
Rack: 0 Host: 5 Id:5 IP: 10.1.6.1
Rack: 1 Host: 0 Id:6 IP: 10.2.1.1
Rack: 1 Host: 1 Id:7 IP: 10.2.2.1
Rack: 1 Host: 2 Id:8 IP: 10.2.3.1
Rack: 1 Host: 3 Id:9 IP: 10.2.4.1
Rack: 1 Host: 4 Id:10 IP: 10.2.5.1
Rack: 1 Host: 5 Id:11 IP: 10.2.6.1
Rack: 2 Host: 0 Id:12 IP: 10.3.1.1
Rack: 2 Host: 1 Id:13 IP: 10.3.2.1
Rack: 2 Host: 2 Id:14 IP: 10.3.3.1
Rack: 2 Host: 3 Id:15 IP: 10.3.4.1
Rack: 2 Host: 4 Id:16 IP: 10.3.5.1
Rack: 2 Host: 5 Id:17 IP: 10.3.6.1
Rack: 3 Host: 0 Id:18 IP: 10.4.1.1
Rack: 3 Host: 1 Id:19 IP: 10.4.2.1
Rack: 3 Host: 2 Id:20 IP: 10.4.3.1
Rack: 3 Host: 3 Id:21 IP: 10.4.4.1
Rack: 3 Host: 4 Id:22 IP: 10.4.5.1
Rack: 3 Host: 5 Id:23 IP: 10.4.6.1
Total preparing time = 1685477 microsecond
Config Parameters
hostToTorLinkRate: 300Mbps
hostToTorLinkRateCrossTraffic: 50Mbps
hostToTorLinkDelay: 50us
torToAggLinkRate: 916.6Mbps
torToAggLinkDelay: 50us
aggToCoreLinkRate: 945Mbps
aggToCoreLinkDelay: 50us
appDataRate: 10Mbps
duration: 0.9
pctPacedBack: 0.8
enableSwitchECN: 1
enableECMP: 1
sampleRate: 4500
errorRate: 0.03
dirName: reverse
experiment: 19
trafficStartTime: 16.2
trafficStopTime: 17.1
steadyStartTime: 0.3
steadyEndTime: 0.8
packet_size,cdf
52,0.031179
53,0.0328594
54,0.0480879
55,0.0496501
56,0.0825621
57,0.0834416
58,0.128143
59,0.129193
60,0.130492
61,0.132475
62,0.136702
63,0.140115
64,0.143489
65,0.144172
66,0.157339
67,0.158311
68,0.159453
69,0.160188
70,0.161225
71,0.162026
72,0.162656
73,0.164258
74,0.167605
75,0.168708
76,0.171557
77,0.173828
78,0.175062
79,0.176139
80,0.182598
81,0.18286
82,0.185
83,0.186024
84,0.18672
85,0.18861
86,0.189463
87,0.206136
88,0.206753
89,0.207304
90,0.209366
91,0.210101
92,0.210626
93,0.211807
94,0.212109
95,0.213461
96,0.214262
97,0.21459
98,0.215011
99,0.216717
100,0.219041
101,0.219395
102,0.219829
103,0.224056
104,0.22466
105,0.225565
106,0.227377
107,0.227613
108,0.227784
109,0.229202
110,0.229399
111,0.229766
112,0.22999
113,0.230449
114,0.232576
115,0.23314
116,0.23318
117,0.233442
118,0.233718
119,0.241253
120,0.241582
121,0.241752
122,0.242067
123,0.242277
124,0.242343
125,0.242501
126,0.242921
127,0.243039
128,0.243157
129,0.243262
130,0.245993
131,0.246268
132,0.246373
133,0.246465
134,0.24661
135,0.247542
136,0.247752
137,0.247791
138,0.248054
139,0.248146
140,0.248684
141,0.249485
142,0.249577
143,0.249747
144,0.25001
145,0.250075
146,0.251099
147,0.251283
148,0.251349
149,0.251506
150,0.25169
151,0.252255
152,0.252412
153,0.25257
154,0.253042
155,0.253069
156,0.253397
157,0.25362
158,0.254145
159,0.254263
160,0.257493
161,0.257624
162,0.261668
163,0.261878
164,0.2626
165,0.262915
166,0.263689
167,0.264936
168,0.265383
169,0.265475
170,0.265803
171,0.266092
172,0.266459
173,0.26663
174,0.267221
175,0.267523
176,0.267641
177,0.267916
178,0.268481
179,0.268638
180,0.268875
181,0.269085
182,0.269177
183,0.270332
184,0.270503
185,0.270713
186,0.271422
187,0.271855
188,0.27217
189,0.272327
190,0.272643
191,0.272918
192,0.273155
193,0.273561
194,0.274494
195,0.274651
196,0.274979
197,0.275255
198,0.276135
199,0.277329
200,0.277513
201,0.27771
202,0.277999
203,0.278209
204,0.278524
205,0.279207
206,0.279456
207,0.279587
208,0.279692
209,0.279876
210,0.281228
211,0.281412
212,0.281727
213,0.28178
214,0.281885
215,0.282502
216,0.283355
217,0.283631
218,0.283736
219,0.283788
220,0.283893
221,0.284051
222,0.28413
223,0.284221
224,0.28434
225,0.284392
226,0.285666
227,0.285797
228,0.285928
229,0.285994
230,0.286112
231,0.286571
232,0.28686
233,0.287096
234,0.287438
235,0.287608
236,0.287622
237,0.287635
238,0.287832
239,0.28791
240,0.288029
241,0.288291
242,0.288632
243,0.288843
244,0.288974
245,0.289223
246,0.289249
247,0.289525
248,0.289919
249,0.290129
250,0.290497
251,0.290523
252,0.29068
253,0.290799
254,0.291022
255,0.291087
256,0.291416
257,0.291429
258,0.291599
259,0.291928
260,0.292006
261,0.29223
262,0.293175
263,0.297481
264,0.297546
265,0.297927
266,0.298177
267,0.298295
268,0.298505
269,0.298623
270,0.298728
271,0.298794
272,0.299279
273,0.299384
274,0.299857
275,0.299949
276,0.30008
277,0.300356
278,0.300382
279,0.300592
280,0.300723
281,0.300802
282,0.30092
283,0.301143
284,0.30155
285,0.301655
286,0.30176
287,0.301879
288,0.302023
289,0.302115
290,0.302312
291,0.302469
292,0.303375
293,0.303441
294,0.303598
295,0.304937
296,0.305095
297,0.3052
298,0.305292
299,0.305344
300,0.305449
301,0.305607
302,0.306119
303,0.306198
304,0.306316
305,0.306487
306,0.307143
307,0.307327
308,0.307497
309,0.307812
310,0.308075
311,0.308246
312,0.308364
313,0.309519
314,0.310661
315,0.310819
316,0.311003
317,0.311068
318,0.311501
319,0.311554
320,0.31158
321,0.311606
322,0.311895
323,0.312013
324,0.312053
325,0.312092
326,0.312302
327,0.312355
328,0.312447
329,0.312499
330,0.312657
331,0.312749
332,0.312801
333,0.312867
334,0.313261
335,0.313339
336,0.313366
337,0.313431
338,0.313694
339,0.313799
340,0.313838
341,0.313864
342,0.313891
343,0.314088
344,0.314166
345,0.314193
346,0.314311
347,0.314376
348,0.314403
349,0.314429
350,0.314626
351,0.31477
352,0.314823
353,0.314888
354,0.315243
355,0.315335
356,0.315387
357,0.315505
359,0.315637
360,0.315663
361,0.315702
362,0.315912
363,0.315926
364,0.316031
365,0.316123
366,0.316136
367,0.316175
368,0.316306
369,0.316398
370,0.316621
371,0.317028
372,0.317081
373,0.317173
374,0.317265
375,0.317435
376,0.318328
377,0.318407
378,0.318617
379,0.318643
380,0.318696
381,0.318761
382,0.318958
383,0.319142
384,0.319221
385,0.319326
386,0.319759
387,0.319982
388,0.320022
389,0.320087
390,0.320179
391,0.320481
392,0.320639
393,0.320678
394,0.320796
395,0.320875
396,0.320888
397,0.321177
398,0.321347
399,0.321361
400,0.321413
401,0.321492
402,0.321623
403,0.321873
404,0.321991
405,0.322004
406,0.322017
407,0.322043
408,0.322148
409,0.322201
410,0.322595
411,0.323199
412,0.323724
413,0.323789
414,0.323894
416,0.323947
417,0.324026
418,0.324131
419,0.324157
420,0.324222
421,0.324419
422,0.324511
424,0.324564
425,0.324669
426,0.324721
427,0.324761
428,0.325181
429,0.32526
430,0.325299
431,0.325338
432,0.325391
433,0.325417
434,0.325588
435,0.325732
436,0.32589
437,0.325942
438,0.325982
439,0.3261
441,0.326152
442,0.326205
443,0.326284
444,0.32631
445,0.326402
446,0.326481
447,0.326612
448,0.326756
449,0.326887
450,0.327032
451,0.327242
452,0.32736
453,0.327518
454,0.32757
455,0.327649
456,0.327767
457,0.327793
458,0.327938
459,0.328056
460,0.328213
461,0.328292
462,0.328397
463,0.328489
464,0.328673
465,0.328817
466,0.328935
467,0.329067
468,0.329159
469,0.329251
470,0.329421
471,0.329487
472,0.329566
473,0.329657
474,0.329776
475,0.329854
476,0.32992
477,0.329973
478,0.330117
479,0.330209
480,0.330261
481,0.330563
482,0.330681
483,0.330747
484,0.330839
485,0.331049
486,0.331088
487,0.33122
488,0.331259
489,0.331338
490,0.331456
491,0.331522
492,0.331587
494,0.331692
495,0.33185
496,0.331981
497,0.331994
498,0.332112
499,0.332178
500,0.332296
501,0.332309
502,0.332336
503,0.332401
504,0.332428
505,0.332454
506,0.332546
508,0.332572
509,0.332585
510,0.333346
511,0.333386
512,0.333425
513,0.333465
514,0.33353
515,0.333701
516,0.333714
518,0.33378
519,0.333924
520,0.333963
521,0.334187
522,0.334318
523,0.33441
524,0.334646
525,0.33483
526,0.334882
527,0.334974
528,0.335001
529,0.335066
530,0.335198
531,0.335211
532,0.335263
533,0.335316
534,0.335368
535,0.335434
536,0.335513
537,0.335552
538,0.335749
539,0.335815
540,0.335933
541,0.335972
542,0.336038
543,0.336064
544,0.33613
545,0.336182
546,0.336445
547,0.33655
548,0.336707
549,0.33672
550,0.336786
551,0.336852
552,0.336917
553,0.336957
554,0.33718
555,0.337193
556,0.337259
557,0.337311
558,0.338073
559,0.338151
560,0.338191
561,0.338493
562,0.338637
563,0.338768
564,0.338926
565,0.339031
566,0.33907
567,0.33911
568,0.33991
569,0.339976
570,0.343691
571,0.343823
572,0.343901
573,0.343928
574,0.344006
575,0.344125
576,0.344295
577,0.344374
578,0.344532
579,0.344623
580,0.344689
581,0.344781
582,0.34486
583,0.344965
584,0.34507
585,0.345109
586,0.345135
587,0.345188
588,0.345201
589,0.345293
590,0.345359
591,0.345464
593,0.345516
594,0.345582
595,0.345752
596,0.345805
597,0.345871
598,0.345884
599,0.346015
600,0.346041
601,0.346081
602,0.346199
603,0.346278
604,0.34633
605,0.346383
606,0.346632
607,0.346658
608,0.346737
609,0.34675
610,0.346986
611,0.347078
612,0.347105
613,0.347157
614,0.347183
615,0.347236
616,0.34742
617,0.347498
618,0.347814
619,0.348194
620,0.348247
621,0.348273
622,0.349507
623,0.349546
624,0.349612
626,0.349704
627,0.349848
628,0.349927
629,0.349993
630,0.350058
631,0.350085
632,0.35015
633,0.350203
634,0.35036
635,0.350413
636,0.350505
637,0.350544
638,0.350689
639,0.350741
640,0.350899
641,0.35103
642,0.351161
643,0.351227
644,0.351306
645,0.351384
646,0.351476
647,0.351489
648,0.351542
649,0.351555
651,0.351594
652,0.351686
653,0.351699
654,0.351791
655,0.351975
656,0.352172
657,0.352461
658,0.352789
659,0.352815
660,0.353957
662,0.353971
664,0.353997
665,0.354036
666,0.354076
667,0.354089
668,0.354273
669,0.354351
670,0.35443
671,0.354561
672,0.354811
673,0.35485
674,0.355008
676,0.355231
678,0.355362
679,0.355441
680,0.355493
681,0.355507
682,0.355598
683,0.355651
684,0.355717
685,0.355743
686,0.355835
687,0.355861
689,0.355887
690,0.356005
691,0.356058
692,0.356137
693,0.356176
694,0.356229
695,0.356334
696,0.356531
697,0.356596
698,0.356622
699,0.356714
700,0.356754
701,0.356859
702,0.357056
703,0.357121
704,0.357187
705,0.357305
706,0.357581
707,0.358631
708,0.358697
709,0.358736
710,0.358894
711,0.359025
712,0.359051
713,0.359117
714,0.35913
715,0.359261
716,0.359445
717,0.359576
718,0.359655
719,0.359721
720,0.359983
721,0.360206
722,0.36039
723,0.360456
724,0.360469
725,0.360561
726,0.36064
727,0.360731
728,0.360784
729,0.360823
730,0.360889
731,0.360955
732,0.360968
733,0.36106
734,0.361165
735,0.36127
736,0.361362
737,0.361388
738,0.361467
739,0.361559
740,0.361716
742,0.361861
743,0.361939
744,0.361979
745,0.362071
746,0.362162
747,0.36232
748,0.362386
749,0.362464
750,0.362583
751,0.362635
752,0.362793
753,0.362819
754,0.362845
755,0.362884
756,0.36295
757,0.36299
758,0.363134
759,0.363213
760,0.363265
762,0.363278
763,0.363318
764,0.363462
765,0.363475
766,0.364315
767,0.364355
768,0.364407
769,0.364473
770,0.364578
771,0.364644
772,0.36467
773,0.364709
774,0.364841
775,0.364959
776,0.364998
777,0.365011
778,0.365208
779,0.365353
780,0.365497
781,0.365615
782,0.365707
783,0.365851
784,0.36597
785,0.366048
786,0.366206
787,0.36635
788,0.366429
789,0.366455
790,0.366482
791,0.366534
792,0.366613
793,0.366652
794,0.366678
795,0.366692
796,0.366823
797,0.366862
798,0.366915
799,0.366941
800,0.36702
801,0.367072
802,0.368214
803,0.368267
804,0.368635
805,0.368661
